"Sample_Number","Euryarchaeota","Euryarchaeota","Crenarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Crenarchaeota","Crenarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Thaumarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Crenarchaeota","Crenarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Thaumarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Crenarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Crenarchaeota","Crenarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Thaumarchaeota","Euryarchaeota","Euryarchaeota","Thaumarchaeota","Crenarchaeota","Euryarchaeota","Thaumarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Crenarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Crenarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Crenarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Crenarchaeota","Crenarchaeota","Candidatus_Korarchaeota","Euryarchaeota","Euryarchaeota","Crenarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Euryarchaeota","Crenarchaeota","Euryarchaeota","Thaumarchaeota","Crenarchaeota","Crenarchaeota"
"s15687",3,0,0,0,0,0,3,0,2,0,0,0,0,0,164,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,0,0,0,0,3,0,0,7,0,0,0,0,0,0,0,3,5,4,0,0,2,2,46,0,0,0,0,0,0,0,3,0,0,22,0,0,0,0,0,0,0,0,0,25,3,0,0,2,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,74,1,0,0,0,0,0,0
"s16244",1,0,0,0,0,0,1,0,0,0,0,0,0,0,115,0,0,0,2,0,0,0,0,0,0,0,1,0,1,3,0,2,1,0,5,0,0,3,0,0,4,0,0,1,0,2,7,0,0,0,0,0,45,0,0,0,0,0,1,0,2,0,0,51,0,0,0,1,1,0,0,0,0,6,0,0,0,1,1,1,0,0,0,0,2,0,0,1,1,0,0,0,0,1,79,1,0,1,0,0,0,0
"s16299",0,1,0,0,0,0,0,1,2,0,0,0,0,0,183,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,0,0,0,0,1,0,0,2,0,0,2,0,0,0,0,4,9,0,0,0,0,3,70,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,5,0,0,0,4,0,0,0,0,1,104,0,0,0,0,0,0,0
"s16297",5,2,0,0,0,0,0,1,3,0,0,0,0,0,249,0,0,0,1,0,0,2,0,0,0,0,1,0,0,5,0,4,0,0,1,1,0,6,0,0,8,0,2,0,0,4,12,39,0,0,0,0,67,0,0,0,0,0,0,0,3,0,0,154,0,0,0,5,0,0,0,1,0,98,0,0,0,0,2,0,0,0,0,0,3,0,0,1,9,0,0,0,1,4,124,3,0,0,0,0,0,0
"s16234",5,0,0,0,0,0,10,0,0,0,0,0,0,0,302,0,0,0,2,0,0,1,0,0,0,0,4,0,0,3,1,2,0,0,2,0,0,11,1,1,6,0,0,0,0,8,13,3,5,0,0,2,69,0,0,0,0,0,0,0,1,0,0,120,0,0,0,2,1,0,0,0,0,30,0,0,0,3,2,0,0,0,2,1,11,0,0,1,2,0,0,0,0,3,114,1,0,0,0,0,0,0
"s16185",9,0,0,0,0,0,5,2,2,0,0,0,0,1,819,3,0,0,0,0,0,0,0,0,0,0,9,0,7,5,13,0,0,0,2,0,0,10,0,0,13,0,0,2,0,14,138,27,2,0,0,7,0,2,0,0,0,0,0,0,0,0,0,4409,0,0,0,6,5,0,1,6,0,36,0,0,0,4,8,0,0,0,5,0,52,0,0,7,3,0,1,0,0,5,883,1,0,0,0,0,0,0
"s16276",4,0,0,0,0,0,2,1,5,0,0,0,0,0,185,0,0,0,0,0,0,0,0,0,0,0,2,0,0,8,0,0,0,0,3,0,0,3,0,0,8,0,1,0,0,3,17,8,1,0,0,0,22,0,0,0,0,0,0,0,1,0,0,137,0,0,0,0,0,0,0,0,0,19,0,0,0,4,2,0,0,0,0,0,4,0,0,1,1,0,0,0,0,4,105,0,0,0,0,0,0,0
"s16281",1,0,0,0,0,0,4,0,0,0,0,0,0,0,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,2,0,0,4,0,1,4,0,0,0,0,5,14,1,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,32,0,0,0,2,0,0,0,0,0,8,0,0,0,2,3,0,0,0,1,1,4,0,0,0,2,0,0,0,0,1,85,1,0,0,0,0,0,0
"s16291",0,0,0,0,0,0,2,0,0,1,0,0,0,0,671,0,0,0,2,0,0,1,0,0,0,0,1,0,0,2,3,2,1,1,0,0,0,4,0,0,4,0,0,1,0,9,8,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,73,0,0,0,1,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,12,0,0,2,2,0,0,0,0,2,170,0,0,0,0,0,0,0
"s16298",1,0,0,0,0,0,0,0,1,2,0,0,0,0,195,0,0,0,2,0,0,1,0,1,0,0,1,0,1,9,0,2,0,0,3,0,0,3,0,1,4,0,0,0,0,5,9,0,0,0,0,0,197,0,0,0,0,0,0,0,0,0,0,128,0,0,0,3,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,9,0,0,0,0,5,113,1,0,0,0,0,0,0
"s16211",2,0,0,0,2,0,5,2,0,0,0,0,0,0,232,0,0,0,2,0,0,2,0,0,0,0,3,0,0,7,0,1,0,0,3,0,0,10,0,0,4,0,0,0,0,8,12,27,1,0,0,0,69,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,19,0,0,0,4,1,0,0,0,0,0,3,0,0,0,5,0,0,0,1,4,96,2,0,0,0,0,0,0
"s15504",62,6,3,0,0,0,51,17,43,1,1,2,0,4,9430,0,0,1,1,0,0,1,0,5,7,1,381,0,106,60,139,3,0,53,72,2,0,91,3,0,498,1,7,34,2,290,1844,81,29,0,1,125,0,92,0,1,0,0,7,0,0,0,5,73879,0,1,7,25,133,4,1,3,0,159,3,1,0,251,66,11,0,1,91,5,331,1,0,88,126,3,2,2,9,88,11365,14,0,0,0,0,0,0
"s15562",1,1,0,0,0,0,3,0,1,0,0,0,0,0,222,0,0,0,0,0,0,2,0,0,0,0,2,0,1,4,0,3,0,1,3,0,0,1,0,0,11,0,0,0,0,7,7,7,0,0,0,0,160,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,12,1,0,0,2,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,4,65,0,0,0,0,0,0,0
"s15583",1,0,0,0,0,0,4,0,5,0,0,0,0,0,407,0,0,0,4,0,0,0,0,0,0,0,0,0,1,14,0,0,0,0,2,0,0,3,0,0,0,0,1,0,0,7,24,5,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,3,0,0,0,0,18,0,0,0,2,5,0,0,0,0,0,3,0,0,2,4,0,0,0,0,4,158,0,0,0,0,0,0,0
"s15588",2,0,0,0,0,0,1,0,2,1,0,0,0,0,211,3,0,0,1,0,0,0,0,0,0,0,31,0,0,2,0,0,0,0,2,0,0,4,0,1,2,0,0,0,0,6,17,3,3,0,0,0,56,0,0,0,0,0,1,0,0,0,0,59,0,0,0,1,0,0,0,0,0,4,3,0,0,0,1,0,0,0,1,0,9,0,1,0,1,0,0,0,0,0,106,0,0,0,0,0,0,0
"s15492",170,11,2,0,0,0,50,17,16,3,1,5,0,1,9847,4,0,1,0,0,0,1,0,18,14,0,244,1,165,77,113,3,0,34,144,1,1,110,6,0,287,0,0,66,5,257,2912,2,34,0,3,213,0,23,0,0,0,0,1,0,2,0,7,54237,0,0,0,12,265,0,7,2,1,13,3,0,0,209,65,7,0,1,211,18,335,0,0,156,113,1,0,2,10,83,11985,8,1,2,0,0,0,0
"s15524",45,4,0,0,0,0,14,2,51,1,2,5,0,3,5810,22,0,0,0,0,0,1,0,2,6,0,188,0,139,27,68,1,0,30,64,0,0,93,6,0,335,0,2,21,2,132,1244,6,15,0,0,65,1,43,0,0,0,0,0,0,0,0,1,60114,0,0,0,18,111,0,0,0,0,117,0,0,0,120,40,8,0,5,103,6,193,0,0,64,43,4,0,0,4,67,7593,5,0,1,0,0,0,0
"s15549",3,0,0,0,0,0,3,0,0,0,0,0,0,0,201,0,0,0,0,0,0,0,0,0,0,0,11,0,0,2,0,0,0,0,4,0,0,16,0,0,4,0,0,0,0,10,11,1,2,0,0,1,42,0,0,0,0,0,0,0,0,0,0,160,0,0,0,0,1,0,0,0,0,2,1,0,0,5,0,0,0,0,3,0,9,0,0,3,4,0,0,0,1,1,117,1,0,0,0,0,0,0
"s15597",0,1,0,0,0,0,3,0,0,0,0,0,0,0,119,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,1,0,0,6,0,0,4,0,1,0,0,0,5,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,1,1,0,0,0,0,6,108,2,0,0,0,0,0,0
"s16129",1,0,0,0,0,0,1,0,0,0,0,0,0,0,189,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,3,0,0,10,0,1,5,0,1,1,0,3,12,1,1,0,0,0,71,0,0,0,0,0,0,0,0,0,0,39,0,0,0,2,1,0,0,0,0,2,0,0,0,2,2,0,0,0,0,0,6,0,0,0,3,0,0,0,0,1,131,1,0,0,0,0,0,0
"s16035",35,0,0,0,1,0,10,2,62,0,0,0,0,0,873,0,0,0,0,0,0,0,0,0,2,0,6,0,7,2,7,1,0,0,3,0,1,2,0,0,16,0,1,1,0,18,172,406,9,0,1,5,0,2,0,0,0,0,0,0,0,0,0,3598,0,0,0,2,8,0,0,0,0,644,0,0,0,9,4,0,0,0,2,1,39,0,0,10,1,0,1,1,0,1,954,0,0,0,0,0,0,0
"s16025",53,6,1,0,1,0,46,8,143,1,2,3,0,8,6727,2,0,0,0,0,0,0,0,4,8,2,222,0,64,73,74,0,0,32,47,1,0,87,5,0,384,1,1,46,2,127,1276,25,17,0,0,65,2,50,0,0,0,0,0,0,0,0,2,18050,0,0,0,25,111,0,0,2,0,149,1,1,0,93,43,5,0,0,71,12,237,0,0,77,41,3,0,0,14,91,6300,3,0,1,0,0,0,0
"s16091",7,0,0,0,0,0,0,0,7,1,0,0,0,0,214,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,0,2,0,0,1,0,1,9,0,0,1,0,3,7,49,0,0,0,0,41,0,0,0,0,0,0,0,1,0,0,95,0,0,0,1,2,0,0,0,0,74,0,0,0,3,2,0,0,0,0,0,0,0,0,1,7,0,0,0,2,5,122,1,0,0,0,0,0,0
"s16028",127,9,0,0,1,0,65,16,88,2,2,4,0,8,9341,7,1,1,0,0,0,1,0,7,15,0,718,0,153,76,116,2,0,39,94,0,0,103,8,0,556,0,2,66,4,216,2202,6,33,0,3,127,0,62,0,1,0,0,0,0,0,0,3,63826,0,0,0,21,214,2,2,2,2,80,1,1,0,177,49,11,0,3,137,12,321,0,0,158,67,4,0,1,11,90,12218,1,0,0,0,0,0,0
"s16157",1,0,0,0,0,0,2,0,0,0,0,0,0,0,91,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,3,1,0,3,0,0,0,0,1,4,0,1,0,0,1,35,0,0,0,0,0,0,0,1,0,0,71,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3,0,0,0,0,2,40,1,0,0,0,0,0,0
"s16105",0,0,0,0,0,0,4,0,0,0,0,0,0,0,117,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,3,0,0,0,0,1,0,0,4,13,0,0,0,0,0,31,0,0,0,0,0,0,0,4,0,0,73,0,0,0,1,1,0,0,0,0,1,1,0,0,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,2,58,0,0,1,0,0,0,0
"s16149",1,1,0,0,0,0,3,0,1,0,1,0,0,0,225,0,0,0,0,0,0,0,0,0,0,0,1,1,0,8,0,0,0,0,0,0,0,6,0,2,2,0,1,0,0,2,9,0,1,0,0,0,45,0,0,0,0,0,0,0,0,0,0,76,0,0,0,1,2,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,2,0,0,1,0,0,0,0,0,6,102,2,0,0,0,0,0,0
"s16111",4,0,0,0,0,0,3,0,2,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,10,1,0,2,0,1,0,0,1,4,6,0,0,0,1,27,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,1,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,2,41,0,0,0,0,0,0,0
"s16027",2,0,0,0,0,0,3,0,7,0,0,0,0,1,854,0,0,0,0,0,0,0,0,1,1,0,12,0,5,3,12,0,0,3,5,0,0,7,0,0,16,0,0,0,0,25,157,15,3,0,0,2,0,2,0,0,0,0,0,0,0,0,0,5856,0,0,0,7,20,0,0,0,0,25,0,0,0,2,12,0,0,0,4,0,42,0,0,13,3,0,0,0,1,1,926,0,0,0,0,0,0,0
"s16055",7,0,0,0,0,1,2,0,2,0,0,0,0,0,904,0,0,0,0,0,0,0,0,1,1,0,8,0,14,3,13,0,0,1,5,0,1,8,0,0,20,0,0,0,0,26,166,1,4,0,0,5,0,5,0,0,0,0,0,0,0,0,0,3331,0,0,0,3,12,0,1,0,0,5,0,0,0,7,5,0,0,0,5,2,51,0,0,14,1,0,0,0,0,7,926,0,0,0,0,0,0,0
"s16081",3,1,0,0,0,0,1,0,1,0,0,0,0,0,172,0,0,0,1,0,0,0,0,0,0,0,1,0,0,10,0,0,0,0,4,0,0,16,0,0,5,0,2,0,0,5,10,18,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,42,0,0,0,13,0,0,0,0,0,68,0,0,0,0,0,0,0,0,1,0,3,0,0,0,3,0,0,0,0,2,68,2,0,0,0,0,0,0
"s16077",1,0,0,0,0,0,5,0,1,0,0,0,1,0,236,0,0,0,2,0,0,0,0,0,0,0,3,3,2,8,1,0,0,0,1,0,0,4,0,2,3,0,0,0,0,0,11,9,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,20,0,0,0,3,0,0,0,0,0,1,5,0,0,1,3,0,0,0,0,0,53,1,0,0,0,0,0,0
"s16067",0,1,0,0,0,0,2,0,0,0,0,0,0,0,178,0,0,0,0,0,0,1,0,0,0,0,1,0,0,3,0,1,0,0,0,0,0,5,0,0,0,0,0,2,0,2,10,1,1,0,0,0,31,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,1,0,0,0,0,1,1,0,0,4,2,0,1,0,0,0,3,0,0,0,1,0,0,0,1,1,99,0,0,2,0,0,0,0
"s16124",1,0,0,0,0,0,2,2,0,0,0,0,0,0,389,0,0,0,2,0,0,3,0,0,0,0,3,0,0,4,0,1,0,0,4,0,0,6,0,0,0,0,0,0,1,4,23,2,0,0,0,1,82,0,0,0,0,0,0,0,0,0,0,207,0,0,0,1,0,0,0,0,0,5,0,0,0,4,2,0,0,0,1,1,6,0,0,5,7,0,0,0,0,2,211,0,0,0,0,0,0,0
"s16063",1,0,0,0,0,0,4,0,0,0,0,0,0,0,316,0,0,0,2,0,0,0,0,0,0,0,2,0,0,6,0,0,0,0,0,0,0,4,0,0,6,0,0,0,0,4,26,0,0,0,0,0,83,0,0,0,0,0,0,0,0,1,0,75,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,2,0,3,0,0,0,0,0,0,1,0,1,127,3,0,0,0,0,0,0
"s16155",2,0,0,0,0,0,3,1,2,1,0,0,1,0,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0,0,4,0,1,2,0,0,0,0,12,9,1,0,0,0,1,58,0,0,0,0,0,0,0,0,0,0,79,0,0,0,1,1,0,0,0,0,2,0,0,0,1,3,0,0,0,0,0,3,0,0,0,2,0,0,0,0,3,103,1,0,0,0,0,0,0
"s15857",1,0,0,0,0,0,1,0,0,0,0,0,0,0,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,1,1,0,0,1,0,2,2,0,0,0,0,2,5,1,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,1,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,2,0,0,0,1,0,0,0,0,6,90,1,0,0,0,0,0,0
"s15777",17,0,1,0,0,0,13,3,2,0,0,1,0,0,2349,0,0,0,0,0,0,0,0,0,0,0,7,0,2,17,24,1,0,6,12,0,0,14,0,0,19,0,0,6,0,47,389,13,9,0,0,5,0,1,0,0,0,0,0,0,0,0,0,4623,0,0,0,1,35,0,1,1,0,25,2,2,0,9,20,1,0,1,12,0,112,0,0,21,5,0,0,2,2,18,1560,0,0,0,0,0,0,0
"s15858",2,2,0,0,0,0,2,0,0,1,0,0,0,0,257,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,3,0,0,0,0,5,9,13,0,0,0,1,11,0,0,0,0,0,0,0,0,0,0,159,0,0,0,1,0,0,0,0,0,39,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,18,74,0,0,0,0,0,1,0
"s15796",0,0,0,0,0,0,0,1,1,0,0,0,0,0,130,1,0,0,3,0,0,2,0,0,0,0,2,2,1,9,0,0,0,0,0,0,0,3,1,0,9,0,0,0,0,3,5,2,0,0,0,0,65,0,0,0,0,0,0,0,1,0,2,90,0,0,0,0,3,0,0,0,0,1,0,0,0,3,1,0,0,0,0,0,3,0,0,0,1,0,0,0,0,4,62,0,0,0,0,0,0,0
"s15809",0,0,0,0,0,0,1,0,4,0,0,0,0,0,165,0,0,0,2,0,0,1,0,0,0,0,6,0,0,6,0,1,0,0,3,0,0,7,0,0,6,0,0,0,0,5,11,14,1,0,0,0,65,0,0,0,0,0,0,0,0,0,0,89,0,0,0,1,1,0,0,0,0,18,1,0,0,2,0,0,0,0,1,0,2,0,0,0,2,0,0,0,0,4,102,1,0,0,0,0,0,0
"s15767",4,0,0,0,0,0,7,3,0,0,0,1,0,1,879,3,0,0,0,0,0,0,0,0,0,0,9,0,8,5,11,0,0,3,5,1,1,6,0,0,16,0,0,3,0,24,171,23,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3346,0,0,0,4,9,0,0,0,0,48,0,0,0,4,7,0,0,1,6,1,47,0,0,14,2,0,0,0,0,5,1010,0,0,0,0,0,0,0
"s15752",63,13,0,0,0,0,72,10,451,1,16,13,0,5,21938,4,0,0,0,0,0,1,0,10,15,0,452,0,343,138,113,1,0,49,72,0,2,102,4,1,546,2,2,29,3,262,1682,78,44,0,0,111,2,77,0,0,1,0,3,0,1,0,2,132626,0,0,0,25,139,1,1,4,0,604,2,2,0,182,73,8,0,3,96,9,481,0,0,97,55,4,0,2,12,474,13151,4,2,1,0,0,0,0
"s15855",0,1,0,0,0,0,1,0,0,0,0,0,0,0,228,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,1,0,0,3,0,0,1,0,0,0,0,7,10,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,128,0,0,0,1,0,0,0,0,0,0,1,0,0,2,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,2,140,1,0,0,0,0,0,0
"s15765",4,0,0,0,0,0,7,2,8,0,0,1,0,0,721,0,0,0,0,0,0,0,0,0,0,0,4,0,2,5,12,0,0,2,4,0,0,4,0,0,17,0,0,1,0,16,132,69,2,0,0,1,0,2,0,0,0,0,0,0,0,0,1,3326,0,0,0,4,8,0,0,0,0,99,0,0,0,5,5,0,0,1,5,0,23,0,0,10,3,0,0,0,1,4,773,0,0,0,0,0,0,0
"s15806",1,0,0,0,0,0,7,1,0,0,0,0,0,0,247,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,1,0,0,3,0,1,4,0,0,0,0,5,4,9,0,0,0,1,46,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,10,0,0,0,0,4,0,0,0,0,1,5,0,0,0,3,0,0,0,0,2,116,0,0,0,0,0,0,0
"s16319",87,10,1,0,0,1,54,20,529,2,4,4,0,5,13406,4,0,1,1,0,0,1,0,6,20,0,356,1,211,103,97,1,0,53,79,1,0,109,3,1,563,0,0,38,3,211,2173,35,29,1,1,138,0,80,0,0,0,0,0,0,0,0,3,94624,0,0,0,24,161,1,5,4,0,469,0,1,0,278,59,12,0,2,134,13,350,1,0,88,112,4,1,1,11,172,12499,11,2,0,0,0,0,0
